Concentration_Percent_Weight,0°C,5°C,10°C,15°C,20°C,25°C,30°C,40°C,50°C,60°C,80°C,100°C
0,0.9998,0.99996,0.99970,0.99910,0.99820,0.99704,0.99565,0.99221,0.98803,0.98320,0.9718,0.9583
1,1.0058,1.00572,1.00534,1.00464,1.00364,1.00241,1.0009,0.9973,0.9931,0.9882,0.9767,0.9632
2,1.0117,1.01149,1.01099,1.01018,1.00909,1.00778,1.0061,1.0025,0.9982,0.9932,0.9816,0.9681
3,1.0176,1.0173,1.01668,1.01576,1.01457,1.01318,1.0114,1.0077,1.0033,0.9982,0.9865,0.973
4,1.0236,1.02315,1.0224,1.02137,1.02008,1.01861,1.0168,1.0129,1.0084,1.0033,0.9915,0.9779
5,1.0296,1.02904,1.02816,1.02702,1.02563,1.02408,1.0222,1.0182,1.0136,1.0084,0.9965,0.9829
6,1.0357,1.03497,1.03397,1.03272,1.03122,1.02958,1.0277,1.0235,1.0188,1.0136,1.0015,0.9879
7,1.0418,1.041,1.0399,1.0385,1.0369,1.0352,1.0333,1.0289,1.0241,1.0188,1.0066,0.9929
8,1.048,1.0471,1.0458,1.0443,1.0427,1.0409,1.0389,1.0344,1.0295,1.0241,1.0117,0.998
9,1.0543,1.0532,1.0518,1.0502,1.0485,1.0466,1.0446,1.0399,1.0349,1.0294,1.0169,1.0032
10,1.0606,1.0594,1.0578,1.0561,1.0543,1.0523,1.0503,1.0455,1.0403,1.0347,1.0221,1.0083
11,1.0669,1.0656,1.0639,1.0621,1.0602,1.0581,1.056,1.0511,1.0458,1.0401,1.0273,1.0134
12,1.0733,1.0718,1.07,1.0681,1.0661,1.064,1.0618,1.0567,1.0513,1.0455,1.0326,1.0186
13,1.0797,1.0781,1.0762,1.0742,1.0721,1.0699,1.0676,1.0624,1.0568,1.0509,1.0379,1.0238
14,1.0862,1.0845,1.0824,1.0803,1.0781,1.0758,1.0735,1.0681,1.0624,1.0564,1.0432,1.0289
15,1.0927,1.0909,1.0887,1.0865,1.0842,1.0818,1.0794,1.0739,1.068,1.0619,1.0485,1.0341
16,1.0992,1.0973,1.095,1.0927,1.0903,1.0879,1.0854,1.0797,1.0737,1.0675,1.0538,1.0393
17,1.1057,1.1038,1.1014,1.0989,1.0964,1.094,1.0914,1.0855,1.0794,1.0731,1.0592,1.0444
18,1.1123,1.1103,1.1078,1.1052,1.1026,1.1001,1.0974,1.0913,1.0851,1.0787,1.0646,1.0496
19,1.1189,1.1168,1.1142,1.1115,1.1088,1.1062,1.1034,1.0972,1.0908,1.0843,1.07,1.0547
20,1.1255,1.1234,1.1206,1.1178,1.115,1.1123,1.1094,1.1031,1.0966,1.0899,1.0754,1.0598
21,1.1322,1.13,1.1271,1.1242,1.1213,1.1185,1.1155,1.109,1.1024,1.0956,1.0808,1.065
22,1.1389,1.1366,1.1336,1.1306,1.1276,1.1247,1.1217,1.115,1.1083,1.1013,1.0862,1.0701
23,1.1457,1.1433,1.1402,1.1371,1.134,1.131,1.128,1.121,1.1142,1.107,1.0917,1.0753
24,1.1525,1.1501,1.1469,1.1437,1.1404,1.1374,1.1343,1.1271,1.1201,1.1127,1.0972,1.0805
25,1.1594,1.1569,1.1536,1.1503,1.1469,1.1438,1.1406,1.1332,1.126,1.1185,1.1027,1.0857
26,1.1663,1.1638,1.1603,1.1569,1.1534,1.1502,1.1469,1.1394,1.132,1.1244,1.1083,1.091
27,1.1733,1.1707,1.167,1.1635,1.16,1.1566,1.1533,1.1456,1.1381,1.1303,1.1139,1.0963
28,1.1803,1.1777,1.1738,1.1702,1.1666,1.1631,1.1597,1.1519,1.1442,1.1362,1.1195,1.1016
29,1.1874,1.1847,1.1807,1.177,1.1733,1.1697,1.1662,1.1582,1.1503,1.1422,1.1251,1.1069
30,1.1945,1.1917,1.1876,1.1838,1.18,1.1763,1.1727,1.1645,1.1564,1.1482,1.1307,1.1122
31,1.2016,1.1988,1.1945,1.1906,1.1867,1.1829,1.1792,1.1708,1.1625,1.1542,1.1363,1.1175
32,1.2088,1.2059,1.2014,1.1974,1.1934,1.1896,1.1857,1.1772,1.1687,1.1602,1.1419,1.1228
33,1.216,1.2131,1.2084,1.2043,1.2002,1.1963,1.1922,1.1836,1.1749,1.1662,1.1476,1.1281
