File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
U233-SOL-THERM-016-016,1.00995,0.00016,1.00995,0.000156278,0.9994,0.0031,1.01055,0.003138,Cylinder,77.88,20.85,1.27,22.12,22028.0,0.14458
U233-SOL-THERM-017-007,1.00032,0.00012,1.00032,0.000124381,1,0.0037,1.00032,0.003703,Cylinder,90.52,9.03,0.45,9.48,7834.000000000001,0.054625
HEU-SOL-THERM-001-003,1.00144,0.00015,1.00144,0.000149502,1.0003,0.0035,1.00113,0.003506,Cylinder,90.16,8.96,0.88,9.84,15585.0,0.079017
MIX-MET-FAST-007-002,1.00804,0.00011,1.00804,0.000111082,1,0.0023,1.00804,0.002321,Sphere,7.52,18.63,73.85,92.48,1248000.0,93283.0
HEU-SOL-THERM-028-005,0.99382,0.00013,0.993819,0.000125147,1,0.0031,0.99382,0.003083,Cylinder,94.86,4.71,0.43,5.14,7556.0,0.046847999999999994
PU-SOL-THERM-034-012,0.99864,0.00011,0.998637,0.000110894,1,0.0042,0.99864,0.004195,Cylinder,63.57,31.21,5.23,36.43,98270.0,2.0876
LEU-COMP-THERM-006-002,1.00036,0.00010,1.00036,0.000101866,1,0.002,1.00036,0.002003,Lattice,84.46,8.76,6.78,15.54,197140.0,0.24828
LEU-COMP-THERM-010-008,0.99820,0.00010,0.998201,9.86447e-05,1,0.0021,0.9982,0.002098,Lattice,87.84,5.61,6.56,12.16,198270.0,0.18704
HEU-MET-FAST-092-002,1.00280,0.00009,1.0028,8.9052e-05,0.9989,0.0013,1.00390,0.001309,Cylinder,0.00,5.70,94.30,100.0,1393500.0,771530.0
PU-SOL-THERM-005-007,1.00398,0.00012,1.00398,0.000115485,1,0.0047,1.00398,0.004720,Sphere,95.93,3.61,0.45,4.07,8585.4,0.067977
LEU-COMP-THERM-025-001,0.98817,0.00011,0.988167,0.000107009,1,0.0041,0.98817,0.004052,Lattice,77.02,17.24,5.74,22.98,149340.0,0.43115
HEU-MET-FAST-093,1.00317,0.00009,1.00317,9.00339e-05,0.9978,0.0012,1.00538,0.001212,Cylinder,0.00,7.10,92.90,100.0,1232900.0,655210.0
U233-SOL-INTER-001-022,0.97851,0.00016,0.978514,0.000156964,1,0.0049,0.97851,0.004797,Sphere,32.44,60.55,7.00,67.56,117780.0,6.5334
HEU-SOL-THERM-042-008,1.00204,0.00003,1.00204,3.41544e-05,1,0.0035,1.00204,0.003507,Cylinder,98.43,1.46,0.11,1.57,2010.3,0.030472000000000003
HEU-MET-FAST-084-008,1.00840,0.00009,1.0084,9.03089e-05,0.9994,0.0034,1.00900,0.003433,Cylinder,0.00,6.05,93.95,100.0,1348200.0,735390.0
HEU-MET-FAST-078-041,0.99675,0.00009,0.996746,8.88531e-05,0.9992,0.0025,0.99754,0.002497,Cylinder,0.00,5.11,94.89,100.0,1473600.0,833420.0
U233-SOL-THERM-015-004,0.99033,0.00015,0.990333,0.000152136,1,0.0041,0.99033,0.004063,Sphere,58.42,38.28,3.31,41.58,55399.0,0.71989
LEU-COMP-THERM-042-007,0.99773,0.00010,0.997727,9.70028e-05,1,0.0018,0.99773,0.001798,Lattice,86.85,7.38,5.76,13.15,169340.0,0.17784
MIX-MET-FAST-007-023,1.00346,0.00009,1.00346,8.86028e-05,1,0.0028,1.00346,0.002811,Sphere,0.00,4.24,95.76,100.0,1712200.0,1020699.9999999999
HEU-SOL-THERM-020-003,1.00498,0.00016,1.00498,0.000164594,0.9957,0.0079,1.00932,0.008009,Cylinder,84.92,14.69,0.40,15.08,5491.8,0.13283999999999999
LEU-COMP-THERM-010-029,1.00195,0.00011,1.00195,0.000106498,1,0.0028,1.00195,0.002807,Lattice,80.89,10.48,8.63,19.11,253089.99999999997,0.41983000000000004
HEU-MET-FAST-003-010,1.00506,0.00009,1.00506,9.12242e-05,1,0.005,1.00506,0.005026,Sphere,0.00,13.36,86.64,100.0,1185600.0,531310.0
LEU-COMP-THERM-005-010,1.00107,0.00011,1.00107,0.000105443,1,0.0028,1.00107,0.002804,Lattice,67.03,22.54,10.43,32.97,287210.0,1.6655
HEU-SOL-THERM-038-010,0.99740,0.00014,0.997397,0.000137881,1,0.0026,0.9974,0.002596,Cylinder,75.25,22.30,2.45,24.75,42021.0,0.35552
LEU-COMP-THERM-017-006,1.00018,0.00009,1.00018,8.93807e-05,1,0.0031,1.00018,0.003101,Lattice,88.40,4.68,6.92,11.6,212110.0,0.17106
LEU-COMP-THERM-078-006,0.99627,0.00012,0.996272,0.00011639,0.9974,0.001,0.99886,0.001008,Lattice,80.70,13.90,5.41,19.3,145340.0,0.30652999999999997
HEU-MET-FAST-090-001,1.00573,0.00011,1.00573,0.000109645,0.9994,0.0007,1.00633,0.000713,Cylinder,21.24,20.23,58.53,78.76,864620.0,6258.599999999999
LEU-COMP-THERM-027-002,1.00661,0.00011,1.00661,0.000109867,1.0014,0.0012,1.00520,0.001209,Lattice,88.97,7.44,3.59,11.03,99986.0,0.12272000000000001
U233-SOL-INTER-001-003,0.98163,0.00015,0.981632,0.000154904,1,0.0066,0.98163,0.006480,Sphere,29.14,63.61,7.25,70.86,117640.0,8.658999999999999
LEU-COMP-THERM-009-010,0.99901,0.00010,0.999011,0.000103213,1,0.0021,0.99901,0.002100,Lattice,90.32,5.86,3.83,9.68,110140.0,0.11552000000000001
PU-MET-FAST-014,0.99770,0.00009,0.997702,9.28733e-05,1.0037,0.0031,0.99402,0.003071,Cylinder,0.00,6.15,93.85,100.0,1536100.0,816230.0
