File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-comp-therm-008-case-2,1.00761,0.00028,84.49,8.93,6.58,15.51,194890.0,0.22471
ieu-comp-therm-002-case-3,1.02856,0.00031,90.60,7.54,1.87,9.4,45761.0,0.087269
leu-comp-therm-008-case-1-2,1.00504,0.00030,83.43,9.63,6.94,16.57,204830.0,0.25516999999999995
leu-comp-therm-008-case-7,1.00171,0.00031,84.38,8.99,6.63,15.62,195630.0,0.22719999999999999
leu-comp-therm-008-case-11,1.00607,0.00030,84.17,9.17,6.66,15.83,196500.0,0.23286
leu-comp-therm-008-case-8,0.99948,0.00029,84.43,8.94,6.63,15.57,195450.0,0.22541999999999998
leu-sol-therm-007-case-14,0.97935,0.00033,95.97,3.27,0.76,4.03,20326.0,0.040413
leu-sol-therm-007-case-36,0.98515,0.00028,96.66,2.72,0.62,3.34,16797.0,0.037326
leu-comp-therm-008-case-5,1.00381,0.00029,84.41,8.99,6.60,15.59,195010.0,0.22644999999999998
leu-sol-therm-007-case-30,0.98199,0.00030,96.22,3.07,0.71,3.78,18973.0,0.039278999999999994
leu-sol-therm-007-case-49,0.98435,0.00028,96.77,2.63,0.60,3.23,15918.000000000002,0.03684
mix-comp-therm-002-case-pnl34,1.01696,0.00032,91.57,4.10,4.33,8.43,130720.0,0.123
leu-sol-therm-007-case-32,0.98196,0.00030,96.48,2.87,0.66,3.52,17635.0,0.038099
mix-comp-therm-002-case-pnl30,1.01893,0.00034,81.65,9.95,8.40,18.35,245610.0,0.46449
mix-comp-therm-002-case-pnl35,1.01817,0.00030,89.75,5.26,4.99,10.25,150750.0,0.16065
mix-comp-therm-002-case-pnl32,1.01668,0.00033,89.36,5.37,5.27,10.64,157980.0,0.16786
mix-comp-therm-002-case-pnl31,1.00994,0.00034,79.34,11.44,9.22,20.66,269550.0,0.63166
mix-comp-therm-002-case-pnl33,1.01263,0.00032,86.72,7.06,6.22,13.28,186650.0,0.24485
