File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-comp-therm-008-case-2,1.00049,0.00031,84.19,9.18,6.63,15.81,195790.0,0.24977
leu-comp-therm-008-case-11,1.00071,0.00030,83.91,9.37,6.72,16.09,198330.0,0.25823
leu-comp-therm-008-case-1-2,1.00061,0.00030,83.20,9.81,6.99,16.8,205920.0,0.28234000000000004
ieu-comp-therm-002-case-3,1.00385,0.00033,90.16,7.92,1.92,9.84,46957.0,0.09838999999999999
leu-comp-therm-008-case-7,1.00042,0.00030,84.19,9.17,6.64,15.81,195930.0,0.24867999999999998
leu-comp-therm-008-case-8,0.99967,0.00031,84.24,9.12,6.64,15.76,195830.0,0.24718999999999997
leu-comp-therm-008-case-5,1.00059,0.00029,84.17,9.18,6.64,15.83,196140.0,0.24964
leu-sol-therm-007-case-32,0.99585,0.00028,96.46,2.89,0.65,3.54,17384.0,0.039646
leu-sol-therm-007-case-14,0.99467,0.00032,95.97,3.28,0.75,4.03,20025.0,0.042194
leu-sol-therm-007-case-30,0.99714,0.00032,96.23,3.07,0.70,3.77,18656.0,0.040882
leu-sol-therm-007-case-36,0.99895,0.00029,96.64,2.74,0.61,3.36,16441.0,0.038768
leu-sol-therm-007-case-49,0.99723,0.00026,96.74,2.66,0.59,3.26,15926.0,0.038276
mix-comp-therm-002-case-pnl30,1.00020,0.00035,80.98,10.38,8.63,19.02,252869.99999999997,0.55449
mix-comp-therm-002-case-pnl31,1.00179,0.00036,78.92,11.74,9.33,21.08,273440.0,0.7326600000000001
mix-comp-therm-002-case-pnl33,1.00633,0.00034,86.47,7.24,6.29,13.53,188700.0,0.27768
mix-comp-therm-002-case-pnl32,1.00200,0.00033,89.04,5.59,5.37,10.96,161060.0,0.19030999999999998
mix-comp-therm-002-case-pnl34,1.00454,0.00030,91.35,4.25,4.40,8.65,132510.0,0.13684
mix-comp-therm-002-case-pnl35,1.00633,0.00033,89.51,5.42,5.08,10.49,153780.0,0.18164999999999998
