File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-comp-therm-006-010,1.00779,0.0001,89.1,5.84,5.06,10.9,149050,0.13016
leu-comp-therm-022-001,1.02224,0.00011,73.48,20.38,6.14,26.52,152990,0.56245
leu-comp-therm-006-016,1.00665,0.0001,90.22,5.14,4.63,9.78,137070,0.11311
leu-comp-therm-006-005,1.01034,0.0001,86.86,7.23,5.91,13.14,172960,0.17243
leu-comp-therm-007-007,1.00455,0.0001,93.71,3.87,2.42,6.29,70021,0.067435
leu-comp-therm-079-001,1.01386,0.00011,82.78,10.99,6.23,17.22,175360,0.26252
leu-comp-therm-079-004,1.01543,0.00011,82.57,11.13,6.3,17.43,177230,0.26927
leu-comp-therm-079-010,1.01394,0.0001,90.82,5.51,3.67,9.18,105770,0.10228
leu-comp-therm-035-002,1.00592,0.0001,85.95,7.78,6.27,14.05,183070,0.19347
leu-comp-therm-022-007,1.00834,0.00009,95.52,3.23,1.25,4.48,34015,0.051517
leu-comp-therm-039-005,1.01366,0.00011,88.41,7.48,4.1,11.59,116240,0.12788
leu-comp-therm-006-007,1.00897,0.0001,86.48,7.41,6.11,13.52,178480,0.18185
leu-comp-therm-035-001,1.00701,0.0001,86.08,7.66,6.25,13.92,182460,0.19084
leu-comp-therm-035-003,1.00193,0.0001,86.01,7.79,6.2,13.99,181320,0.19157
leu-comp-therm-006-006,1.00995,0.0001,86.68,7.31,6.01,13.32,175590,0.17689
leu-comp-therm-006-003,1.01081,0.0001,84.7,8.53,6.77,15.3,196700,0.22692
leu-comp-therm-007-002,1.00972,0.00011,90.29,6.21,3.5,9.71,99832,0.10168
leu-comp-therm-008-002,1.00762,0.00009,84.48,8.94,6.58,15.52,194530,0.22502
leu-comp-therm-006-012,1.00623,0.0001,88.75,5.99,5.26,11.25,154600,0.13682
leu-comp-therm-039-001,1.01544,0.00011,84.69,10.06,5.25,15.31,147060,0.19816
leu-comp-therm-022-002,1.02565,0.00011,81.2,14.43,4.37,18.8,111790,0.2466
leu-comp-therm-027-003,1.00846,0.00011,89.56,6.93,3.51,10.44,98111,0.10843
leu-comp-therm-039-004,1.01462,0.00011,86.22,9.01,4.77,13.78,134280,0.16565
leu-comp-therm-007-006,1.00824,0.00011,90.2,6.27,3.53,9.8,100560,0.10266
leu-comp-therm-006-001,1.01261,0.0001,85.13,8.32,6.55,14.87,190760,0.21408
leu-comp-therm-025-001,1.0046,0.00011,77.89,16.51,5.6,22.11,145780,0.36432
leu-comp-therm-008-008,0.99932,0.00009,84.42,8.96,6.63,15.58,195330,0.22565
leu-comp-therm-011-003,1.00926,0.0001,86.43,7.64,5.94,13.57,175470,0.17768
leu-comp-therm-006-015,1.00748,0.0001,90.37,5.08,4.54,9.63,134540,0.1106
leu-comp-therm-039-010,1.01319,0.00011,86.76,8.53,4.71,13.24,132520,0.15715
leu-comp-therm-007-008,1.01565,0.00011,83.67,10.81,5.52,16.33,154230,0.22178
leu-comp-therm-079-005,1.01575,0.00011,82.42,11.24,6.34,17.58,178310,0.27375
leu-comp-therm-006-009,1.00927,0.0001,89.29,5.76,4.96,10.71,146160,0.12685
leu-comp-therm-008-001,1.00455,0.0001,83.42,9.63,6.95,16.58,204850,0.25561
leu-comp-therm-007-004,1.01016,0.00009,95.01,2.96,2.03,4.99,59093,0.057885
leu-comp-therm-079-008,1.01269,0.0001,90.94,5.42,3.63,9.06,104800,0.10081
leu-comp-therm-006-013,1.00544,0.0001,88.59,6.06,5.35,11.41,157230,0.14012
leu-comp-therm-079-002,1.0138,0.00011,82.77,10.99,6.24,17.23,175500,0.26284
leu-comp-therm-007-001,1.01717,0.00011,84.02,10.56,5.42,15.98,151630,0.21359
leu-comp-therm-007-009,1.00627,0.00011,90.17,6.29,3.54,9.83,100980,0.10313
leu-comp-therm-011-009,1.00914,0.0001,86.23,7.68,6.09,13.77,179160,0.18335
leu-comp-therm-039-003,1.01434,0.00011,85.86,9.22,4.92,14.14,138180,0.17338
leu-comp-therm-007-003,1.00477,0.0001,93.71,3.86,2.43,6.29,70220,0.067562
leu-comp-therm-079-009,1.01275,0.00011,90.9,5.45,3.65,9.1,105130,0.1014
leu-comp-therm-027-002,1.00516,0.00011,89.12,7.29,3.59,10.88,100090,0.11376
leu-comp-therm-039-002,1.01594,0.00011,85.08,9.78,5.14,14.92,144180,0.18952
leu-comp-therm-008-011,1.00653,0.00009,84.18,9.15,6.67,15.82,196940,0.23286
leu-comp-therm-006-004,1.01217,0.0001,87.09,7.13,5.79,12.91,169610,0.16719
leu-comp-therm-079-006,1.01145,0.0001,91.01,5.38,3.61,8.99,104180,0.099975
leu-comp-therm-027-004,1.01411,0.00011,90.03,6.56,3.4,9.97,95910,0.10308
leu-comp-therm-011-007,1.00937,0.0001,86.3,7.67,6.03,13.7,177740,0.18115
leu-comp-therm-006-011,1.00697,0.0001,88.92,5.92,5.16,11.08,151790,0.13343
leu-comp-therm-022-005,1.00793,0.0001,93.45,4.86,1.68,6.55,45111,0.064695
leu-comp-therm-011-002,1.00148,0.0001,84.39,8.97,6.64,15.61,195510,0.22757
leu-comp-therm-039-009,1.01377,0.00011,85.66,9.31,5.03,14.34,141200,0.17833
leu-comp-therm-024-002,1.03228,0.00011,87.39,9.6,3.01,12.61,78758,0.12655
leu-comp-therm-027-001,1.00077,0.00011,88.63,7.69,3.68,11.37,102120,0.11971
leu-comp-therm-006-018,1.00536,0.0001,89.91,5.27,4.81,10.09,142080,0.1183
leu-comp-therm-006-008,1.00815,0.0001,86.3,7.49,6.21,13.7,181320,0.18669
leu-comp-therm-007-005,1.01241,0.00011,83.2,11.07,5.73,16.8,159690,0.23558
leu-comp-therm-006-014,1.00902,0.0001,90.55,5.01,4.45,9.45,131710,0.1079
leu-comp-therm-079-007,1.01111,0.00011,91,5.38,3.62,9,104250,0.1
leu-comp-therm-022-006,1.00572,0.00009,95.45,3.28,1.27,4.55,34376,0.051895
leu-comp-therm-006-017,1.00559,0.0001,90.07,5.21,4.73,9.93,139690,0.11569
leu-comp-therm-022-003,1.02071,0.00011,88.37,8.85,2.78,11.63,72849,0.1132
leu-comp-therm-039-008,1.01437,0.00011,85.46,9.47,5.07,14.54,142190,0.18222
leu-comp-therm-025-004,1.00595,0.0001,93.25,4.89,1.86,6.75,51349,0.065106
leu-comp-therm-025-003,1.00896,0.00011,90.39,7.06,2.55,9.61,69553,0.090322
leu-comp-therm-007-010,1.00404,0.0001,93.67,3.88,2.44,6.33,70614,0.067848
leu-comp-therm-039-006,1.01097,0.00011,88.08,7.67,4.25,11.92,120220,0.13367
