File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-comp-therm-006-010,0.99985,0.0001,88.83,6.05,5.12,11.17,150970,0.14263
leu-comp-therm-022-001,1.00284,0.00011,72.36,21.33,6.31,27.64,157200,0.67814
leu-comp-therm-006-016,0.99968,0.0001,90,5.32,4.68,10,138520,0.12303
leu-comp-therm-006-005,0.99988,0.0001,86.5,7.5,6,13.5,175590,0.19166
leu-comp-therm-007-007,0.99863,0.0001,93.58,3.98,2.44,6.42,70628,0.072287
leu-comp-therm-079-001,0.99805,0.00011,82.19,11.44,6.37,17.81,179220,0.30054
leu-comp-therm-079-004,0.99931,0.00011,81.97,11.6,6.43,18.03,180930,0.30815
leu-comp-therm-079-010,0.99958,0.0001,90.53,5.73,3.74,9.47,107720,0.11259
leu-comp-therm-035-002,0.99899,0.0001,85.63,8.03,6.33,14.37,184950,0.21408
leu-comp-therm-022-007,1.00399,0.00009,95.42,3.33,1.26,4.58,34234,0.054624
leu-comp-therm-039-005,0.99747,0.00011,88.03,7.79,4.18,11.97,118460,0.14248
leu-comp-therm-006-007,0.99998,0.0001,86.13,7.68,6.2,13.87,180970,0.20188
leu-comp-therm-035-001,0.99978,0.0001,85.77,7.91,6.32,14.23,184420,0.21095
leu-comp-therm-035-003,0.99511,0.0001,85.69,8.05,6.26,14.31,183240,0.2122
leu-comp-therm-006-006,1.00036,0.0001,86.31,7.59,6.1,13.69,178270,0.19679
leu-comp-therm-006-003,1.00031,0.0001,84.27,8.86,6.87,15.73,199660,0.25472
leu-comp-therm-007-002,0.99882,0.00011,90,6.44,3.55,10,101300,0.11147
leu-comp-therm-008-002,1.00106,0.00009,84.2,9.17,6.63,15.8,196010,0.24937
leu-comp-therm-006-012,0.99973,0.0001,88.5,6.2,5.31,11.5,156000,0.14951
leu-comp-therm-039-001,0.99734,0.00011,84.11,10.51,5.37,15.89,150490,0.22626
leu-comp-therm-022-002,1.00719,0.00011,80.46,15.07,4.47,19.54,114380,0.28686
leu-comp-therm-027-003,1.00716,0.00011,89.41,7.08,3.52,10.59,98506,0.1173
leu-comp-therm-039-004,0.99654,0.00011,85.71,9.4,4.89,14.29,137340,0.18766
leu-comp-therm-007-006,0.99878,0.00011,89.93,6.5,3.57,10.07,101770,0.11224
leu-comp-therm-006-001,0.99998,0.0001,84.67,8.66,6.67,15.33,194210,0.24124
leu-comp-therm-025-001,0.98817,0.00011,77.02,17.24,5.74,22.98,149340,0.43115
leu-comp-therm-008-008,0.99982,0.00009,84.21,9.14,6.64,15.79,195790,0.24716
leu-comp-therm-011-003,0.99806,0.0001,86.12,7.87,6.01,13.88,177660,0.19713
leu-comp-therm-006-015,0.99965,0.0001,90.15,5.25,4.6,9.85,136150,0.12038
leu-comp-therm-039-010,0.99743,0.00011,86.3,8.91,4.79,13.7,134960,0.17666
leu-comp-therm-007-008,0.99805,0.00011,83.08,11.27,5.65,16.92,157840,0.25395
leu-comp-therm-079-005,0.99928,0.00011,81.81,11.71,6.48,18.19,182410,0.31401
leu-comp-therm-006-009,0.99987,0.0001,89,5.97,5.03,11,148280,0.13923
leu-comp-therm-008-001,1.00061,0.00009,83.17,9.85,6.98,16.83,205700,0.28258
leu-comp-therm-007-004,0.99795,0.00009,94.87,3.07,2.06,5.13,59939,0.061918
leu-comp-therm-079-008,0.99897,0.00011,90.66,5.64,3.7,9.34,106540,0.11081
leu-comp-therm-006-013,0.99943,0.0001,88.34,6.27,5.4,11.66,158560,0.15288
leu-comp-therm-079-002,0.99856,0.00011,82.17,11.46,6.37,17.83,179180,0.30085
leu-comp-therm-007-001,0.99744,0.00011,83.39,11.04,5.56,16.61,155410,0.24551
leu-comp-therm-007-009,0.99804,0.00011,89.92,6.5,3.58,10.08,102080,0.11246
leu-comp-therm-011-009,0.99818,0.0001,85.94,7.91,6.15,14.06,181010,0.20267
leu-comp-therm-039-003,0.99741,0.00011,85.37,9.6,5.02,14.63,141110,0.19598
leu-comp-therm-007-003,0.99763,0.0001,93.55,3.99,2.46,6.45,70965,0.072532
leu-comp-therm-079-009,0.99847,0.0001,90.61,5.67,3.72,9.39,107130,0.11155
leu-comp-therm-027-002,1.00661,0.00011,88.97,7.44,3.59,11.03,99986,0.12272
leu-comp-therm-039-002,0.99807,0.00012,84.52,10.22,5.26,15.48,147460,0.21597
leu-comp-therm-008-011,1.00128,0.00009,83.91,9.38,6.71,16.09,198070,0.25778
leu-comp-therm-006-004,0.99983,0.0001,86.71,7.4,5.89,13.29,172570,0.1863
leu-comp-therm-079-006,0.99829,0.00011,90.73,5.59,3.68,9.27,105980,0.10978
leu-comp-therm-027-004,1.00941,0.00011,89.84,6.73,3.42,10.16,96447,0.11186
leu-comp-therm-011-007,0.99829,0.0001,85.99,7.91,6.1,14.01,179790,0.20088
leu-comp-therm-006-011,0.99983,0.0001,88.66,6.13,5.21,11.34,153490,0.14609
leu-comp-therm-022-005,1.00353,0.0001,93.29,5.01,1.7,6.71,45486,0.069383
leu-comp-therm-011-002,0.9984,0.0001,84.15,9.17,6.68,15.85,196390,0.25078
leu-comp-therm-039-009,0.99659,0.00011,85.16,9.71,5.13,14.84,144050,0.20186
leu-comp-therm-024-002,1.00862,0.00011,86.85,10.05,3.1,13.15,80958,0.14333
leu-comp-therm-027-001,1.00418,0.00011,88.51,7.82,3.68,11.49,101810,0.12896
leu-comp-therm-006-018,0.99932,0.0001,89.7,5.45,4.85,10.3,143220,0.12839
leu-comp-therm-006-008,1.00009,0.0001,85.95,7.76,6.29,14.05,183660,0.20692
leu-comp-therm-007-005,0.99718,0.00011,82.62,11.53,5.85,17.38,163070,0.26949
leu-comp-therm-006-014,0.99964,0.0001,90.3,5.19,4.51,9.7,133440,0.1177
leu-comp-therm-079-007,0.99776,0.00011,90.73,5.59,3.68,9.27,106050,0.10987
leu-comp-therm-022-006,1.00144,0.00009,95.35,3.37,1.27,4.65,34612,0.055025
leu-comp-therm-006-017,0.99957,0.0001,89.84,5.39,4.77,10.16,140920,0.12575
leu-comp-therm-022-003,1.00723,0.00011,88,9.17,2.82,12,74041,0.12572
leu-comp-therm-039-008,0.99714,0.00011,84.94,9.89,5.18,15.06,145250,0.20692
leu-comp-therm-025-004,1.0025,0.0001,93.1,5.03,1.87,6.9,51621,0.069765
leu-comp-therm-025-003,1.00051,0.0002,90.13,7.28,2.58,9.87,70414,0.098904
leu-comp-therm-007-010,0.99857,0.0001,93.54,4,2.46,6.46,71155,0.072645
leu-comp-therm-039-006,0.99719,0.00011,87.69,7.98,4.32,12.31,122270,0.14889
leu-comp-therm-008-005,1.00054,0.0001,84.18,9.18,6.64,15.82,196200,0.24952
leu-comp-therm-079-003,0.99901,0.00011,82.05,11.54,6.41,17.95,180210,0.30537
leu-comp-therm-008-007,1.00022,0.00009,84.18,9.17,6.65,15.82,196150,0.24896
leu-comp-therm-022-004,1.00809,0.00011,91.65,6.31,2.04,8.35,54270,0.083504
leu-comp-therm-039-007,0.99684,0.00011,84.52,10.18,5.3,15.48,148470,0.21705
