File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu_sol_case49_C10,0.91756,0.00028,96.67,2.7,0.62,3.33,16593,0.037152
leu_sol_case49_C12,0.97973,0.00029,96.76,2.64,0.6,3.24,16123,0.036837
leu_sol_case49_C11,0.96127,0.00028,96.74,2.66,0.61,3.26,16249,0.036926
leu_sol_case49_C13,0.98852,0.00027,96.77,2.63,0.6,3.23,16102,0.036801
leu_sol_case49_C14,0.9939,0.00029,96.78,2.62,0.6,3.22,16023,0.036783
leu_sol_case49_C15,0.71739,0.00041,81.15,16.53,2.31,18.85,44991,0.18827
leu_sol_case49_C16,1.23227,0.00046,83.14,15.11,1.75,16.86,33968,0.15183
leu_sol_case49_C17,1.43028,0.0004,83.52,14.83,1.65,16.48,32269,0.14543
leu_sol_case49_C20,1.51852,0.00039,83.66,14.74,1.6,16.34,31445,0.14325
leu_sol_case49_C18,1.48464,0.00041,83.62,14.76,1.62,16.38,31677,0.14396
leu_sol_case49_C21,1.52355,0.00038,83.68,14.72,1.6,16.32,31344,0.14291
leu_sol_case49_C19,1.50675,0.00041,83.64,14.75,1.61,16.36,31580,0.14378
leu_sol_case49_C22,0.87836,0.00041,24.43,60.53,15.03,75.57,258830,72.721
leu_sol_case49_C23,1.3177,0.00039,26.08,61.05,12.87,73.92,220870,50.242
leu_sol_case49_C24,1.47778,0.00039,26.45,61.13,12.43,73.55,213570,46.422
leu_sol_case49_C26,1.53965,0.00035,26.55,61.18,12.28,73.45,211080,45.258
leu_sol_case49_C25,1.52154,0.00036,26.53,61.16,12.32,73.47,211950,45.561
leu_sol_case49_C28,1.55307,0.00036,26.57,61.19,12.24,73.43,210470,45.059
leu_sol_case49_C29,1.35488,0.00034,0.27,43.73,56,99.73,866940,64767
leu_sol_case49_C27,1.54751,0.00036,26.57,61.17,12.26,73.43,210900,45.145
leu_sol_case49_C30,1.73889,0.00038,0.3,46.67,53.03,99.7,805580,51971
leu_sol_case49_C32,1.88033,0.00031,0.31,47.49,52.2,99.69,789190,48841
leu_sol_case49_C33,1.89241,0.0003,0.31,47.55,52.14,99.69,787780,48648
leu_sol_case49_C31,1.8522,0.00031,0.31,47.31,52.38,99.69,792560,49514
leu_sol_case49_C35,1.89913,0.0003,0.31,47.57,52.12,99.69,787060,48552
leu_sol_case49_C34,1.89744,0.00031,0.31,47.56,52.13,99.69,787260,48608
leu_sol_case49_C36,1.74439,0.00038,0,13.51,86.49,100,1190500,514560
leu_sol_case49_C37,2.05951,0.00038,0,14.55,85.45,100,1138000,477260
leu_sol_case49_C39,2.15745,0.00037,0,14.82,85.18,100,1123600,467970
leu_sol_case49_C38,2.14015,0.00037,0,14.76,85.24,100,1126700,469870
leu_sol_case49_C40,2.16337,0.00034,0,14.85,85.15,100,1122900,467180
leu_sol_case49_C42,2.16815,0.00036,0,14.87,85.13,100,1122100,466770
leu_sol_case49_C41,2.1671,0.00035,0,14.86,85.14,100,1122200,466710
leu_sol_case49_C6,0.21669,0.00006,96.93,1.21,1.86,3.07,58392,0.040051
leu_sol_case49_C4-4,0.2096,0.00007,96.86,1.24,1.91,3.14,59595,0.040457
leu_sol_case49_C5,0.21423,0.00007,96.9,1.23,1.87,3.1,58597,0.040215
leu_sol_case49_C7,0.21808,0.00007,96.9,1.25,1.85,3.1,57970,0.040047
leu_sol_case49_C9,0.75346,0.0003,96.43,2.88,0.69,3.57,18479,0.038313
