File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu_sol_case49_C10,0.93472,0.00029,96.69,2.7,0.61,3.31,16281,0.0385
leu_sol_case49_C11,0.97587,0.00027,96.74,2.66,0.6,3.26,16040,0.038293
leu_sol_case49_C12,0.99287,0.00027,96.76,2.64,0.6,3.24,15953,0.038231
leu_sol_case49_C13,1.00131,0.00027,96.76,2.65,0.59,3.24,15851,0.038149
leu_sol_case49_C15,0.72391,0.00044,81.06,16.65,2.3,18.94,44849,0.21065
leu_sol_case49_C14,1.00565,0.00028,96.76,2.65,0.59,3.24,15872,0.038175
leu_sol_case49_C16,1.23657,0.00045,82.9,15.35,1.75,17.1,34027,0.17193
leu_sol_case49_C17,1.43262,0.00046,83.29,15.07,1.64,16.71,32226,0.16522
leu_sol_case49_C18,1.48705,0.00042,83.36,15.02,1.62,16.64,31718,0.16364
leu_sol_case49_C19,1.50924,0.0004,83.4,14.99,1.61,16.6,31444,0.16275
leu_sol_case49_C20,1.52028,0.00043,83.42,14.97,1.6,16.58,31445,0.16259
leu_sol_case49_C21,1.52584,0.00039,83.41,14.99,1.6,16.59,31399,0.16243
leu_sol_case49_C22,0.87876,0.00041,23.93,61.06,15.01,76.07,258640,76.584
leu_sol_case49_C24,1.47699,0.00038,25.89,61.69,12.42,74.11,213480,49.166
leu_sol_case49_C23,1.31689,0.00039,25.54,61.58,12.88,74.46,220950,53.09
leu_sol_case49_C25,1.52028,0.00037,25.99,61.68,12.33,74.01,211840,48.153
leu_sol_case49_C34,1.89794,0.00032,0.3,47.58,52.11,99.7,786790,48536
leu_sol_case49_C36,1.74376,0.00038,0,13.48,86.52,100,1191000,514790
leu_sol_case49_C42,2.16793,0.00035,0,14.87,85.13,100,1122400,466790
leu_sol_case49_C7,0.22445,0.00007,96.99,1.21,1.8,3.01,56557,0.040325
leu_sol_case49_C39,2.15651,0.00035,0,14.83,85.17,100,1124000,467870
leu_sol_case49_C26,1.53782,0.00037,25.99,61.72,12.29,74.01,211510,47.937
leu_sol_case49_C27,1.54673,0.00036,26.02,61.72,12.26,73.98,210870,47.721
leu_sol_case49_C28,1.55241,0.00035,26.05,61.7,12.25,73.95,210610,47.536
leu_sol_case49_C29,1.3542,0.00037,0.26,43.74,56,99.74,867290,64796
leu_sol_case49_C31,1.85342,0.00032,0.3,47.33,52.37,99.7,791260,49471
leu_sol_case49_C30,1.738,0.00037,0.29,46.69,53.02,99.71,805600,51940
leu_sol_case49_C35,1.89992,0.00031,0.3,47.58,52.11,99.7,787250,48568
leu_sol_case49_C37,2.06015,0.00036,0,14.55,85.45,100,1138500,477440
leu_sol_case49_C38,2.14027,0.00036,0,14.78,85.22,100,1127100,469650
leu_sol_case49_C33,1.89254,0.00033,0.3,47.56,52.14,99.7,787260,48616
leu_sol_case49_C32,1.8816,0.00032,0.3,47.51,52.19,99.7,788800,48898
leu_sol_case49_C40,2.16411,0.00033,0,14.85,85.15,100,1122900,467100
leu_sol_case49_C4-4,0.21697,0.00007,96.93,1.22,1.84,3.07,57764,0.040719
leu_sol_case49_C5,0.22113,0.00007,96.95,1.23,1.82,3.05,57089,0.040517
leu_sol_case49_C41,2.16799,0.00032,0,14.86,85.14,100,1122800,466910
leu_sol_case49_C6,0.22325,0.00007,96.96,1.24,1.8,3.04,56496,0.040425
leu_sol_case49_C9,0.77979,0.0003,96.49,2.84,0.67,3.51,17854,0.039472
