File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu_sol_case14_15,1.51246,0.0004,79.35,18.54,2.11,20.65,41343,0.22074
leu_sol_case14_11,1.34389,0.00044,78.97,18.82,2.21,21.03,42866,0.22971
leu_sol_case14_16,1.51741,0.00037,79.32,18.57,2.11,20.68,41103,0.22075
leu_sol_case14_13,1.47069,0.00042,79.27,18.6,2.14,20.73,41476,0.22271
leu_sol_case14_10,1.12781,0.00047,78.42,19.2,2.38,21.58,46106,0.24413
leu_sol_case14_14,1.49414,0.00042,79.3,18.58,2.13,20.7,41419,0.22183
leu_sol_case14_12,1.41245,0.00044,79.15,18.68,2.17,20.85,42035,0.22532
leu_sol_case14_17,0.89832,0.00038,17.26,63.94,18.8,82.74,321550,205.05
leu_sol_case14_25,1.41667,0.00036,0.13,38.4,61.48,99.87,933540,105980
leu_sol_case14_32,1.94888,0.0003,0.14,42.08,57.77,99.86,852570,81982
leu_sol_case14_19,1.4232,0.00039,18.77,65.29,15.94,81.23,271180,132.6
leu_sol_case14_21,1.52334,0.00035,18.95,65.4,15.65,81.05,266270,126.52
leu_sol_case14_18,1.24774,0.00041,18.43,64.96,16.61,81.57,282190,146.6
leu_sol_case14_20,1.47661,0.00035,18.89,65.33,15.78,81.11,268490,128.87
leu_sol_case14_29,1.92836,0.00032,0.14,41.98,57.87,99.86,854570,82512
leu_sol_case14_24,1.55869,0.00033,19.01,65.45,15.53,80.99,264530,124.14
leu_sol_case14_26,1.73128,0.00038,0.14,40.83,59.03,99.86,879960,89407
leu_sol_case14_28,1.90008,0.00033,0.14,41.85,58.01,99.86,857510,83320
leu_sol_case14_27,1.86298,0.00033,0.14,41.62,58.23,99.86,862840,84634
leu_sol_case14_22,1.54082,0.00033,18.96,65.45,15.59,81.04,265480,125.5
leu_sol_case14_23,1.55495,0.00035,18.99,65.45,15.56,81.01,265320,124.79
leu_sol_case14_30,1.93864,0.00032,0.15,42.03,57.83,99.85,853100,82239
leu_sol_case14_34,2.02339,0.00038,0,12.72,87.28,100,1159600,517460
leu_sol_case14_33,1.75909,0.00036,0,11.95,88.05,100,1204400,549460
leu_sol_case14_35,2.1211,0.00034,0,12.96,87.04,100,1145200,508000
leu_sol_case14_31,1.9469,0.0003,0.14,42.06,57.8,99.86,852880,82100
leu_sol_case14_36,2.147,0.00034,0,13.04,86.96,100,1141400,505240
leu_sol_case14_37,2.16664,0.00034,0,13.08,86.92,100,1138800,503370
leu_sol_case14_39,2.17856,0.00034,0,13.11,86.89,100,1136600,502030
leu_sol_case14_40,2.17914,0.00035,0,13.1,86.9,100,1136900,502260
leu_sol_case14_38,2.17376,0.00036,0,13.09,86.91,100,1138200,503070
leu_sol_case14_3-11,0.91814,0.00031,95.88,3.34,0.79,4.12,21028,0.040895
leu_sol_case14_7,1.06671,0.0003,96.09,3.18,0.73,3.91,19431,0.039889
leu_sol_case14_6,1.05015,0.00029,96.06,3.2,0.73,3.94,19709,0.040056
leu_sol_case14_4-2,0.9793,0.00032,95.97,3.27,0.76,4.03,20270,0.040442
leu_sol_case14_5,1.03105,0.00031,96.04,3.22,0.74,3.96,19790,0.040132
leu_sol_case14_9,0.71976,0.00041,76.5,20.5,3.01,23.5,58445,0.30293
leu_sol_case14_8,1.06995,0.00029,96.08,3.19,0.73,3.92,19568,0.039925
