File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu_sol_case14_11,1.34476,0.00042,78.68,19.11,2.21,21.32,43000,0.26171
leu_sol_case14_10,1.13182,0.00045,78.14,19.48,2.38,21.86,46050,0.27835
leu_sol_case14_13,1.4728,0.00042,78.93,18.94,2.13,21.07,41692,0.25512
leu_sol_case14_16,1.51612,0.0004,79.02,18.87,2.11,20.98,41181,0.25247
leu_sol_case14_12,1.4122,0.00043,78.84,19,2.16,21.16,41991,0.25771
leu_sol_case14_14,1.49403,0.00041,78.97,18.91,2.12,21.03,41400,0.25384
leu_sol_case14_15,1.51329,0.00041,79.01,18.88,2.11,20.99,41103,0.25258
leu_sol_case14_27,1.86341,0.00032,0.14,41.62,58.24,99.86,862310,84690
leu_sol_case14_17,0.89784,0.00039,16.89,64.32,18.79,83.11,320910,211.15
leu_sol_case14_34,2.02358,0.00037,0,12.74,87.26,100,1159800,517480
leu_sol_case14_18,1.24708,0.00042,17.97,65.4,16.63,82.03,282360,152.42
leu_sol_case14_30,1.93884,0.00032,0.14,42.04,57.82,99.86,853750,82330
leu_sol_case14_19,1.42132,0.00037,18.33,65.71,15.97,81.67,271580,137.94
leu_sol_case14_21,1.5223,0.00037,18.52,65.82,15.66,81.48,266410,131.38
leu_sol_case14_22,1.54024,0.00035,18.55,65.85,15.61,81.45,265890,130.39
leu_sol_case14_23,1.55505,0.00037,18.57,65.86,15.57,81.43,264730,129.64
leu_sol_case14_20,1.47639,0.00036,18.43,65.78,15.79,81.57,268600,134.4
leu_sol_case14_24,1.55774,0.00034,18.58,65.87,15.55,81.42,265200,129.55
leu_sol_case14_25,1.41716,0.00038,0.12,38.42,61.46,99.88,933900,106020
leu_sol_case14_28,1.90077,0.00033,0.14,41.86,58.01,99.86,858400,83334
leu_sol_case14_26,1.73157,0.00035,0.13,40.82,59.04,99.87,879850,89560
leu_sol_case14_33,1.75811,0.00037,0,11.91,88.09,100,1205200,550110
leu_sol_case14_35,2.11978,0.00036,0,12.96,87.04,100,1145500,507890
leu_sol_case14_7,1.07802,0.0003,96.06,3.23,0.72,3.94,19296,0.041728
leu_sol_case14_29,1.92894,0.00032,0.14,41.99,57.88,99.86,854580,82552
leu_sol_case14_31,1.94794,0.00031,0.14,42.11,57.76,99.86,852560,81932
leu_sol_case14_32,1.94894,0.00031,0.14,42.09,57.77,99.86,852300,81944
leu_sol_case14_36,2.14719,0.00037,0,13.04,86.96,100,1141500,505110
leu_sol_case14_37,2.16704,0.00034,0,13.09,86.91,100,1138900,503210
leu_sol_case14_38,2.17325,0.00033,0,13.1,86.9,100,1137800,502640
leu_sol_case14_39,2.17781,0.00034,0,13.11,86.89,100,1136900,502280
leu_sol_case14_4-2,0.99533,0.00033,95.96,3.29,0.75,4.04,19925,0.042185
leu_sol_case14_40,2.17857,0.00034,0,13.11,86.89,100,1136900,502310
leu_sol_case14_6,1.06197,0.00031,96.05,3.23,0.72,3.95,19429,0.041846
leu_sol_case14_3-11,0.9381,0.00034,95.89,3.34,0.77,4.11,20472,0.042595
leu_sol_case14_5,1.04383,0.00031,96.04,3.23,0.73,3.96,19548,0.041858
leu_sol_case14_8,1.08132,0.0003,96.06,3.22,0.72,3.94,19264,0.04176
leu_sol_case14_9,0.7244,0.00044,76.32,20.7,2.99,23.68,57862,0.34117
