File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
heu-met-fast-004-case-1,1.02320,0.00035,17.95,15.45,66.60,82.05,1052600.0,16795.0
leu-sol-therm-002-case-2,0.97989,0.00028,96.58,2.44,0.98,3.42,28674.0,0.038715
heu-sol-therm-013-case-4,0.98318,0.00028,97.13,2.65,0.22,2.87,3910.7999999999997,0.034404000000000004
heu-sol-therm-013-case-3,0.98050,0.00026,97.27,2.53,0.21,2.73,3682.7000000000003,0.033863
heu-sol-therm-013-case-1,0.97943,0.00024,97.94,1.91,0.16,2.06,2792.0,0.031453999999999996
heu-sol-therm-013-case-2,0.98155,0.00028,97.61,2.21,0.18,2.39,3223.3,0.032638
heu-sol-therm-032,0.99224,0.00017,98.33,1.55,0.12,1.67,2159.0,0.030112
leu-sol-therm-002-case-1,0.99092,0.00025,96.97,2.17,0.86,3.03,25051.0,0.036854
pu-met-fast-011,1.01383,0.00033,13.84,9.77,76.39,86.16,1486500.0,58186.0
pu-sol-therm-018-case-9,1.00325,0.00032,96.49,3.06,0.45,3.51,9440.4,0.051768999999999996
pu-sol-therm-009-case-3a,1.00829,0.00017,98.65,1.21,0.13,1.35,2634.2000000000003,0.038687
pu-sol-therm-011-case-18-6,0.97983,0.00040,96.82,2.82,0.35,3.18,6747.7,0.054273
pu-sol-therm-021-case-1,0.98716,0.00041,96.18,3.38,0.44,3.82,8595.4,0.05996
pu-sol-therm-011-case-16-5,0.99167,0.00043,95.44,4.04,0.53,4.56,10027.0,0.06737
u233-sol-therm-001-case-2,0.97972,0.00025,94.59,5.18,0.23,5.41,3986.6,0.038826
pu-sol-therm-011-case-18-1,0.96959,0.00035,97.48,2.24,0.28,2.52,5345.9,0.048048
pu-sol-therm-021-case-3,1.01186,0.00044,84.12,13.76,2.11,15.88,40061.0,0.26057
pu-sol-therm-034-case-1,1.01556,0.00041,90.75,8.06,1.19,9.25,22723.0,0.12199
u233-sol-therm-001-case-1,0.97908,0.00025,94.79,4.99,0.22,5.21,3876.6,0.038234
u233-sol-therm-001-case-3,0.98053,0.00026,94.41,5.35,0.24,5.59,4125.3,0.039307999999999996
u233-sol-therm-001-case-4,0.98059,0.00027,94.20,5.55,0.25,5.8,4300.3,0.03993
u233-sol-therm-001-case-5,0.98065,0.00029,94.02,5.73,0.25,5.98,4424.0,0.040479
u233-sol-therm-008,0.99227,0.00019,95.62,4.21,0.18,4.38,3149.1000000000004,0.036008
