File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
pu-sol-therm-022-004,1.00287,0.00011,95.32,4.13,0.55,4.68,10680,0.065243
pu-sol-therm-034-014,0.97043,0.0001,61.5,32.96,5.54,38.5,104370,2.4063
pu-sol-therm-007-007,1.02525,0.00013,92.74,6.35,0.9,7.26,17310,0.094913
pu-sol-therm-022-005,1.00031,0.00011,96.1,3.46,0.45,3.9,8705.4,0.058187
pu-sol-therm-011-161,0.99031,0.00013,96.43,3.17,0.41,3.57,7823.8,0.057546
pu-sol-therm-034-008,0.99119,0.00012,66.89,28.21,4.89,33.11,92082,1.3854
pu-sol-therm-003-008,1.00453,0.00011,96.78,2.85,0.37,3.22,7004.7,0.054014
pu-sol-therm-018-006,1.0098,0.00011,94.6,4.69,0.71,5.4,14818,0.067391
pu-sol-therm-003-003,1.005,0.00079,96.66,2.97,0.37,3.34,6993.8,0.055237
pu-sol-therm-032-014,1.00968,0.00012,95.97,3.56,0.47,4.03,9026.9,0.061054
pu-sol-therm-028-008,1.03718,0.00012,94.55,4.8,0.65,5.45,12429,0.075339
pu-sol-therm-005-002,0.99762,0.00082,97.11,2.58,0.32,2.89,6172.7,0.051213
pu-sol-therm-005-003,0.99906,0.00075,97.04,2.63,0.33,2.96,6291.9,0.051828
pu-sol-therm-011-181,0.96913,0.00011,97.5,2.23,0.27,2.5,5293,0.04807
pu-sol-therm-011-165,0.99212,0.00013,95.45,4.02,0.52,4.55,10018,0.067314
pu-sol-therm-004-008,0.99372,0.00077,97.16,2.53,0.31,2.84,5768.8,0.051022
pu-sol-therm-032-001,0.99927,0.00012,94.48,4.86,0.66,5.52,12618,0.076088
pu-sol-therm-028-009,1.03687,0.00011,95.18,4.25,0.57,4.82,10780,0.068892
pu-sol-therm-022-006,0.99897,0.00011,96.48,3.13,0.4,3.52,7822.1,0.054964
pu-sol-therm-034-005,0.97841,0.0001,87.05,11.44,1.52,12.95,29252,0.22022
pu-sol-therm-001-005,1.03323,0.00095,90.05,8.67,1.28,9.95,24286,0.13074
pu-sol-therm-034-013,0.97215,0.00011,62.26,32.29,5.45,37.74,102490,2.2324
pu-sol-therm-032-016,1.00822,0.00011,96.71,2.92,0.38,3.29,7253,0.054463
pu-sol-therm-002-006,1.01925,0.00087,94.21,5.11,0.68,5.79,12952,0.079321
pu-sol-therm-032-015,1.01005,0.00011,96.34,3.24,0.42,3.66,8130.1,0.057703
pu-sol-therm-005-008,0.9934,0.00069,97.08,2.6,0.31,2.92,5931,0.051352
pu-sol-therm-003-004,1.00397,0.00085,96.55,3.06,0.38,3.45,7234,0.055962
pu-sol-therm-007-010,1.01983,0.00013,93.16,5.99,0.85,6.84,16232,0.090113
pu-sol-therm-022-001,1.01999,0.00013,87.18,11.18,1.64,12.82,31773,0.17309
pu-sol-therm-009-003,1.00849,0.00006,98.66,1.21,0.13,1.34,2604.1,0.038694
pu-sol-therm-018-003,1.02027,0.00012,91.87,7.03,1.09,8.13,22668,0.095223
pu-sol-therm-002-005,1.02112,0.0008,94.77,4.62,0.61,5.23,11731,0.073194
pu-sol-therm-011-182,0.97585,0.00011,97.4,2.31,0.29,2.6,5517.2,0.0489
pu-sol-therm-004-001,0.99332,0.00077,97.42,2.3,0.28,2.58,5251.4,0.048619
pu-sol-therm-018-002,1.02461,0.00012,90.5,8.21,1.29,9.5,26711,0.11181
pu-sol-therm-011-164,0.99203,0.00013,96.07,3.49,0.45,3.93,8628.1,0.06111
pu-sol-therm-028-002,1.01802,0.00012,94,5.29,0.71,6,13412,0.081932
