File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
pu-sol-therm-022-004,1.00135,0.00012,95.24,4.21,0.55,4.76,10740.0,0.072357
pu-sol-therm-034-014,0.99687,0.00011,62.08,32.52,5.40,37.92,101640.0,2.4048
pu-sol-therm-007-007,1.00529,0.00013,92.47,6.61,0.93,7.53,17654.0,0.1106
pu-sol-therm-022-005,1.00249,0.00011,96.05,3.50,0.45,3.95,8692.9,0.063765
pu-sol-therm-011-161,1.00992,0.00013,96.44,3.16,0.40,3.56,7684.599999999999,0.06232000000000001
pu-sol-therm-034-008,0.99902,0.00012,66.67,28.45,4.88,33.33,91708.0,1.5249
pu-sol-therm-003-008,1.00569,0.00012,96.73,2.91,0.37,3.27,6995.8,0.059058
pu-sol-therm-018-006,1.00474,0.00012,94.50,4.78,0.72,5.5,14889.0,0.07475000000000001
pu-sol-therm-003-003,1.00423,0.00080,96.56,3.07,0.37,3.44,6956.099999999999,0.060718
pu-sol-therm-032-014,1.00186,0.00012,95.88,3.65,0.47,4.12,9121.9,0.06776900000000001
pu-sol-therm-028-008,1.00783,0.00012,94.31,5.02,0.67,5.69,12777.0,0.086767
pu-sol-therm-005-002,1.00313,0.00086,97.09,2.60,0.32,2.91,6046.0,0.05541
pu-sol-therm-005-003,1.00396,0.00085,97.00,2.68,0.32,3.0,6126.2,0.056395
pu-sol-therm-011-181,0.99447,0.00011,97.52,2.21,0.27,2.48,5163.0,0.051117
pu-sol-therm-011-165,1.00637,0.00013,95.45,4.04,0.52,4.55,9862.8,0.07392499999999999
pu-sol-therm-004-008,1.00054,0.00077,97.10,2.59,0.31,2.9,6041.099999999999,0.055508
pu-sol-therm-032-001,0.99610,0.00012,94.36,4.97,0.66,5.64,12701.0,0.08567
pu-sol-therm-028-009,1.00985,0.00012,94.99,4.43,0.58,5.01,11097.0,0.078563
pu-sol-therm-022-006,1.00291,0.00011,96.44,3.17,0.40,3.56,7815.300000000001,0.059886999999999996
pu-sol-therm-034-005,0.99985,0.00011,87.11,11.40,1.49,12.89,28726.0,0.24999
pu-sol-therm-001-005,1.00635,0.00091,89.57,9.10,1.33,10.43,25236.0,0.15661
pu-sol-therm-034-013,0.99686,0.00011,62.75,31.93,5.32,37.25,100310.0,2.2589
pu-sol-therm-032-016,1.00376,0.00011,96.64,2.99,0.38,3.36,7290.6,0.059669
pu-sol-therm-002-006,1.00515,0.00089,93.94,5.36,0.70,6.06,13122.0,0.091212
pu-sol-therm-032-015,1.00411,0.00012,96.26,3.32,0.43,3.74,8221.900000000001,0.06367500000000001
pu-sol-therm-005-008,0.99903,0.00078,97.08,2.60,0.32,2.92,6111.6,0.055535
pu-sol-therm-003-004,1.00463,0.00083,96.50,3.12,0.38,3.5,7296.099999999999,0.061555
pu-sol-therm-007-010,1.00100,0.00013,92.89,6.24,0.87,7.11,16580.0,0.10465
pu-sol-therm-022-001,0.99955,0.00013,86.73,11.58,1.68,13.27,32569.0,0.20549
pu-sol-therm-009-003,1.01928,0.00005,98.65,1.21,0.13,1.35,2558.8999999999996,0.040487999999999996
pu-sol-therm-018-003,1.00939,0.00012,91.67,7.21,1.11,8.33,23037.0,0.10848000000000001
pu-sol-therm-002-005,1.00916,0.00086,94.58,4.81,0.62,5.42,11597.0,0.083324
pu-sol-therm-011-182,1.00052,0.00011,97.43,2.29,0.28,2.57,5391.5,0.052072
pu-sol-therm-004-001,1.00401,0.00079,97.41,2.32,0.27,2.59,5153.3,0.05231
pu-sol-therm-018-002,1.01177,0.00012,90.25,8.44,1.31,9.75,27109.0,0.12878
pu-sol-therm-011-164,1.00927,0.00013,96.07,3.49,0.44,3.93,8493.8,0.06657
pu-sol-therm-028-002,1.00719,0.00012,93.85,5.44,0.72,6.15,13557.0,0.09347499999999999
pu-sol-therm-032-002,1.00165,0.00012,94.75,4.64,0.61,5.25,11727.0,0.08097399999999999
pu-sol-therm-006-001,1.00050,0.00066,97.50,2.24,0.27,2.5,5074.6,0.051458000000000004
pu-sol-therm-005-001,1.00194,0.00082,97.17,2.53,0.30,2.83,5849.7,0.054526
pu-sol-therm-010-005,1.01040,0.00012,95.87,3.66,0.47,4.13,8881.699999999999,0.068643
pu-sol-therm-004-010,1.00321,0.00080,96.49,3.13,0.38,3.51,7225.0,0.061949
pu-sol-therm-034-004,1.00240,0.00011,87.78,10.79,1.43,12.22,27522.0,0.22406
pu-sol-therm-001-006,1.00821,0.00093,81.79,15.66,2.55,18.21,48416.0,0.34275
pu-sol-therm-003-006,1.00633,0.00079,95.91,3.64,0.45,4.09,8419.3,0.06798799999999999
pu-sol-therm-018-009,1.00201,0.00010,96.42,3.12,0.45,3.58,9512.6,0.056007
pu-sol-therm-010-010,1.00272,0.00012,95.81,3.72,0.48,4.19,9073.0,0.069198
pu-sol-therm-010-012,1.00979,0.00012,96.26,3.32,0.42,3.74,7999.7,0.064335
pu-sol-therm-010-008,1.00382,0.00012,96.40,3.21,0.40,3.6,7504.6,0.062948
