File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
heu-met-fast-004-case-1,1.00339,0.00033,15.18,15.82,69.00,84.82,1090200.0,26383.0
heu-sol-therm-013-case-1,0.99850,0.00026,97.96,1.89,0.15,2.04,2704.7,0.032285
heu-sol-therm-013-case-2,0.99691,0.00027,97.60,2.22,0.18,2.4,3156.7000000000003,0.033705000000000006
heu-sol-therm-013-case-3,0.99390,0.00027,97.26,2.53,0.20,2.74,3609.7999999999997,0.035091
heu-sol-therm-032,0.99917,0.00017,98.31,1.57,0.12,1.69,2168.9,0.030914
leu-sol-therm-002-case-1,0.99944,0.00026,96.96,2.19,0.85,3.04,24882.0,0.038099
heu-sol-therm-013-case-4,0.99529,0.00029,97.10,2.69,0.22,2.9,3896.8,0.035813
pu-met-fast-011,0.99997,0.00033,11.76,9.96,78.28,88.24,1523000.0,82747.0
leu-sol-therm-002-case-2,0.99641,0.00028,96.59,2.44,0.97,3.41,28215.0,0.039968
pu-sol-therm-011-case-18-1,0.99413,0.00035,97.53,2.19,0.27,2.47,5230.0,0.051121
pu-sol-therm-018-case-9,1.00260,0.00033,96.44,3.11,0.45,3.56,9478.2,0.055921
pu-sol-therm-011-case-18-6,1.00052,0.00037,96.84,2.81,0.35,3.16,6649.4,0.058234999999999995
pu-sol-therm-009-case-3a,1.01906,0.00018,98.65,1.22,0.13,1.35,2591.2000000000003,0.040531
pu-sol-therm-011-case-16-5,1.00536,0.00040,95.43,4.05,0.52,4.57,9942.7,0.07402500000000001
pu-sol-therm-021-case-1,1.00526,0.00041,96.16,3.41,0.43,3.84,8346.7,0.065192
pu-sol-therm-021-case-3,1.00432,0.00044,83.79,14.08,2.13,16.21,40302.0,0.30444
pu-sol-therm-034-case-1,1.00065,0.00041,90.46,8.33,1.20,9.54,23099.0,0.1428
u233-sol-therm-001-case-1,1.00096,0.00026,94.74,5.05,0.22,5.26,3770.6,0.039242
u233-sol-therm-001-case-2,1.00103,0.00027,94.53,5.24,0.23,5.47,3921.4999999999995,0.039867
u233-sol-therm-001-case-4,1.00074,0.00027,94.16,5.60,0.24,5.84,4173.2,0.041046
u233-sol-therm-001-case-5,0.99963,0.00027,93.95,5.79,0.25,6.05,4352.3,0.041694999999999996
u233-sol-therm-001-case-3,1.00068,0.00027,94.35,5.42,0.24,5.65,4065.2,0.040449
u233-sol-therm-008,1.00156,0.00018,95.54,4.28,0.18,4.46,3136.9,0.036927999999999996
